,Train_Params,MAE,MAE,Test_Params,MAE,MAE
0.0,T_32_B_16_H_8_train,0.06336852066905298,0.07701433271559598,T_32_B_16_H_8_test,0.06336852066905298,0.07701433271559598
1.0,T_32_B_16_H_16_train,0.0801172794786744,0.08939872941311613,T_32_B_16_H_16_test,0.0801172794786744,0.08939872941311613
2.0,T_32_B_16_H_24_train,0.0639187592522626,0.07096402441232204,T_32_B_16_H_24_test,0.0639187592522626,0.07096402441232204
3.0,T_32_B_16_H_32_train,0.06758867074852819,0.07443081452223353,T_32_B_16_H_32_test,0.06758867074852819,0.07443081452223353
4.0,T_32_B_16_H_64_train,0.06180099392973098,0.07313102300130543,T_32_B_16_H_64_test,0.06180099392973098,0.07313102300130543
5.0,T_32_B_32_H_8_train,0.06267257875039818,0.07626704876957084,T_32_B_32_H_8_test,0.06267257875039818,0.07626704876957084
6.0,T_32_B_32_H_16_train,0.06703406431782183,0.07862052798638049,T_32_B_32_H_16_test,0.06703406431782183,0.07862052798638049
7.0,T_32_B_32_H_24_train,0.06517941610876055,0.07897852904149452,T_32_B_32_H_24_test,0.06517941610876055,0.07897852904149452
8.0,T_32_B_32_H_32_train,0.07515440717563739,0.08462365637888603,T_32_B_32_H_32_test,0.07515440717563739,0.08462365637888603
9.0,T_32_B_32_H_64_train,0.06404218746818625,0.07397905791281109,T_32_B_32_H_64_test,0.06404218746818625,0.07397905791281109
10.0,T_32_B_64_H_8_train,0.06255143621325794,0.07726860311294659,T_32_B_64_H_8_test,0.06255143621325794,0.07726860311294659
11.0,T_32_B_64_H_16_train,0.06556430408153299,0.07640658382908974,T_32_B_64_H_16_test,0.06556430408153299,0.07640658382908974
12.0,T_32_B_64_H_24_train,0.06637828391935204,0.0797829941417197,T_32_B_64_H_24_test,0.06637828391935204,0.0797829941417197
13.0,T_32_B_64_H_32_train,0.07243136427589414,0.07935112109883845,T_32_B_64_H_32_test,0.07243136427589414,0.07935112109883845
14.0,T_32_B_64_H_64_train,0.06722193234758342,0.07515415915385858,T_32_B_64_H_64_test,0.06722193234758342,0.07515415915385858
15.0,T_32_B_128_H_8_train,0.06574371288986212,0.08259992192523108,T_32_B_128_H_8_test,0.06574371288986212,0.08259992192523108
16.0,T_32_B_128_H_16_train,0.0834246403030873,0.0967885686958033,T_32_B_128_H_16_test,0.0834246403030873,0.0967885686958033
17.0,T_32_B_128_H_24_train,0.061457036401545956,0.07274300363964376,T_32_B_128_H_24_test,0.061457036401545956,0.07274300363964376
18.0,T_32_B_128_H_32_train,0.0746064683277754,0.08673875207135377,T_32_B_128_H_32_test,0.0746064683277754,0.08673875207135377
19.0,T_32_B_128_H_64_train,0.06978022487513512,0.0778719752921676,T_32_B_128_H_64_test,0.06978022487513512,0.0778719752921676
20.0,T_64_B_16_H_8_train,0.05880681174115772,0.06984840624224668,T_64_B_16_H_8_test,0.05880681174115772,0.06984840624224668
21.0,T_64_B_16_H_16_train,0.06309809749973028,0.0761148333713742,T_64_B_16_H_16_test,0.06309809749973028,0.0761148333713742
22.0,T_64_B_16_H_24_train,0.06725889754284846,0.07931353270531703,T_64_B_16_H_24_test,0.06725889754284846,0.07931353270531703
23.0,T_64_B_16_H_32_train,0.06213041092584076,0.07351524286846242,T_64_B_16_H_32_test,0.06213041092584076,0.07351524286846242
24.0,T_64_B_16_H_64_train,0.06966353024461681,0.0797327045053989,T_64_B_16_H_64_test,0.06966353024461681,0.0797327045053989
25.0,T_64_B_32_H_8_train,0.06348378189343694,0.07594985593187054,T_64_B_32_H_8_test,0.06348378189343694,0.07594985593187054
26.0,T_64_B_32_H_16_train,0.06474835688345765,0.07736330338722965,T_64_B_32_H_16_test,0.06474835688345765,0.07736330338722965
27.0,T_64_B_32_H_24_train,0.05710792023419889,0.07184028102446319,T_64_B_32_H_24_test,0.05710792023419889,0.07184028102446319
28.0,T_64_B_32_H_32_train,0.06573230395030898,0.07573042014664398,T_64_B_32_H_32_test,0.06573230395030898,0.07573042014664398
29.0,T_64_B_32_H_64_train,0.06169025679071682,0.07327789591760447,T_64_B_32_H_64_test,0.06169025679071682,0.07327789591760447
30.0,T_64_B_64_H_8_train,0.06245294287874665,0.0760490965725889,T_64_B_64_H_8_test,0.06245294287874665,0.0760490965725889
31.0,T_64_B_64_H_16_train,0.06473246321504175,0.07589177795576207,T_64_B_64_H_16_test,0.06473246321504175,0.07589177795576207
32.0,T_64_B_64_H_24_train,0.06541505350814777,0.07691276965960268,T_64_B_64_H_24_test,0.06541505350814777,0.07691276965960268
33.0,T_64_B_64_H_32_train,0.06478744299347917,0.07752990588382146,T_64_B_64_H_32_test,0.06478744299347917,0.07752990588382146
34.0,T_64_B_64_H_64_train,0.06046972107563947,0.07068531974324369,T_64_B_64_H_64_test,0.06046972107563947,0.07068531974324369
35.0,T_64_B_128_H_8_train,0.0714124860981104,0.08026841399355716,T_64_B_128_H_8_test,0.0714124860981104,0.08026841399355716
36.0,T_64_B_128_H_16_train,0.06789215165687341,0.07884806497513376,T_64_B_128_H_16_test,0.06789215165687341,0.07884806497513376
37.0,T_64_B_128_H_24_train,0.06314289891142083,0.07616989250454749,T_64_B_128_H_24_test,0.06314289891142083,0.07616989250454749
38.0,T_64_B_128_H_32_train,0.06027936464818718,0.07211290811668658,T_64_B_128_H_32_test,0.06027936464818718,0.07211290811668658
39.0,T_64_B_128_H_64_train,0.06028232508934823,0.07183972215929116,T_64_B_128_H_64_test,0.06028232508934823,0.07183972215929116
40.0,T_128_B_16_H_8_train,0.060784204042059184,0.07890214264132216,T_128_B_16_H_8_test,0.060784204042059184,0.07890214264132216
41.0,T_128_B_16_H_16_train,0.05874348415723513,0.07317984178571757,T_128_B_16_H_16_test,0.05874348415723513,0.07317984178571757
42.0,T_128_B_16_H_24_train,0.06619165025239566,0.07928474500120888,T_128_B_16_H_24_test,0.06619165025239566,0.07928474500120888
43.0,T_128_B_16_H_32_train,0.05799969997038227,0.07532856405495711,T_128_B_16_H_32_test,0.05799969997038227,0.07532856405495711
44.0,T_128_B_16_H_64_train,0.05655942999371509,0.07279534462398185,T_128_B_16_H_64_test,0.05655942999371509,0.07279534462398185
45.0,T_128_B_32_H_8_train,0.06776151081583799,0.07877448502536699,T_128_B_32_H_8_test,0.06776151081583799,0.07877448502536699
46.0,T_128_B_32_H_16_train,0.06181541607217881,0.07422800633879388,T_128_B_32_H_16_test,0.06181541607217881,0.07422800633879388
47.0,T_128_B_32_H_24_train,0.0725611621744567,0.08499169432962089,T_128_B_32_H_24_test,0.0725611621744567,0.08499169432962089
48.0,T_128_B_32_H_32_train,0.056645333075064176,0.07378514705186767,T_128_B_32_H_32_test,0.056645333075064176,0.07378514705186767
49.0,T_128_B_32_H_64_train,0.07833033156219624,0.08931970026763464,T_128_B_32_H_64_test,0.07833033156219624,0.08931970026763464
50.0,T_128_B_64_H_8_train,0.07004062638983226,0.08477421590968096,T_128_B_64_H_8_test,0.07004062638983226,0.08477421590968096
51.0,T_128_B_64_H_16_train,0.05923905025084709,0.07619228683039429,T_128_B_64_H_16_test,0.05923905025084709,0.07619228683039429
52.0,T_128_B_64_H_24_train,0.06628134999717433,0.07865658314713432,T_128_B_64_H_24_test,0.06628134999717433,0.07865658314713432
53.0,T_128_B_64_H_32_train,0.06127480332513656,0.07460760215569281,T_128_B_64_H_32_test,0.06127480332513656,0.07460760215569281
54.0,T_128_B_64_H_64_train,0.058857401581465726,0.07255788387640909,T_128_B_64_H_64_test,0.058857401581465726,0.07255788387640909
55.0,T_128_B_128_H_8_train,0.06518103841872963,0.07778763417745962,T_128_B_128_H_8_test,0.06518103841872963,0.07778763417745962
56.0,T_128_B_128_H_16_train,0.07570583249293002,0.08906490173412163,T_128_B_128_H_16_test,0.07570583249293002,0.08906490173412163
57.0,T_128_B_128_H_24_train,0.06931987812410474,0.08365206040773632,T_128_B_128_H_24_test,0.06931987812410474,0.08365206040773632
58.0,T_128_B_128_H_32_train,0.06862220357046873,0.08081803865047583,T_128_B_128_H_32_test,0.06862220357046873,0.08081803865047583
59.0,T_128_B_128_H_64_train,0.06827640576959985,0.08073132303141789,T_128_B_128_H_64_test,0.06827640576959985,0.08073132303141789
60.0,T_256_B_16_H_8_train,0.07346452194360567,0.08679602592823102,T_256_B_16_H_8_test,0.07346452194360567,0.08679602592823102
61.0,T_256_B_16_H_16_train,0.06404177480935692,0.07070771836048965,T_256_B_16_H_16_test,0.06404177480935692,0.07070771836048965
62.0,T_256_B_16_H_24_train,0.06981866443904619,0.08048888375719832,T_256_B_16_H_24_test,0.06981866443904619,0.08048888375719832
63.0,T_256_B_16_H_32_train,0.05883811020475666,0.0719707332338748,T_256_B_16_H_32_test,0.05883811020475666,0.0719707332338748
64.0,T_256_B_16_H_64_train,0.06591663880908201,0.07266343401009796,T_256_B_16_H_64_test,0.06591663880908201,0.07266343401009796
65.0,T_256_B_32_H_8_train,0.08145492379609663,0.09793056041758195,T_256_B_32_H_8_test,0.08145492379609663,0.09793056041758195
66.0,T_256_B_32_H_16_train,0.07634822489350679,0.08531798316538135,T_256_B_32_H_16_test,0.07634822489350679,0.08531798316538135
67.0,T_256_B_32_H_24_train,0.055849079837627005,0.07015022162368115,T_256_B_32_H_24_test,0.055849079837627005,0.07015022162368115
68.0,T_256_B_32_H_32_train,0.06784539735216907,0.08197969529595682,T_256_B_32_H_32_test,0.06784539735216907,0.08197969529595682
69.0,T_256_B_32_H_64_train,0.058529457327281285,0.06925620297866537,T_256_B_32_H_64_test,0.058529457327281285,0.06925620297866537
70.0,T_256_B_64_H_8_train,0.06286970660210982,0.0759843900955561,T_256_B_64_H_8_test,0.06286970660210982,0.0759843900955561
71.0,T_256_B_64_H_16_train,0.06295827771701874,0.07522061210596613,T_256_B_64_H_16_test,0.06295827771701874,0.07522061210596613
72.0,T_256_B_64_H_24_train,0.06471355335662297,0.0753810860668316,T_256_B_64_H_24_test,0.06471355335662297,0.0753810860668316
73.0,T_256_B_64_H_32_train,0.06232811379056212,0.07249974273017948,T_256_B_64_H_32_test,0.06232811379056212,0.07249974273017948
74.0,T_256_B_64_H_64_train,0.058967663901834604,0.06544758261491271,T_256_B_64_H_64_test,0.058967663901834604,0.06544758261491271
75.0,T_256_B_128_H_8_train,0.05769495844407208,0.06751547370911133,T_256_B_128_H_8_test,0.05769495844407208,0.06751547370911133
76.0,T_256_B_128_H_16_train,0.06809539216499938,0.08085604432209918,T_256_B_128_H_16_test,0.06809539216499938,0.08085604432209918
77.0,T_256_B_128_H_24_train,0.07289639020689906,0.07743414292326427,T_256_B_128_H_24_test,0.07289639020689906,0.07743414292326427
78.0,T_256_B_128_H_32_train,0.06443372313989511,0.07921996181936064,T_256_B_128_H_32_test,0.06443372313989511,0.07921996181936064
79.0,T_256_B_128_H_64_train,0.06949293241223486,0.07328818241261963,T_256_B_128_H_64_test,0.06949293241223486,0.07328818241261963
